#Group_id  N_of_members members 
     333        3 491 512 1176 
     334        1 492 
     335        1 495 
     336        5 496 1012 497 748 900 
     337        1 499 
     338        1 500 
     339        2 501 1004 
     340        1 502 
     341        1 504 
     342        1 514 
     343        1 515 
     344        1 516 
     345        1 517 
     346        1 518 
     347        1 519 
     348        6 520 522 574 575 610 611 
     349        1 529 
     350        2 530 1189 
     351        2 532 649 
     352        1 533 
     353        1 534 
     354        1 535 
     355        2 536 537 
     356        1 538 
     357        1 539 
     358        1 540 
     359        1 541 
     360        1 542 
     361        1 546 
     362        2 547 548 
     363        1 549 
     364        1 550 
     365        1 551 
     366        1 552 
     367        1 555 
     368        1 556 
     369        1 557 
     370        1 558 
     371        1 559 
     372        1 560 
     373        1 561 
     374        1 569 
     375        1 570 
     376        1 571 
     377        3 572 615 691 
     378        1 573 
     379        6 576 584 609 612 619 621 
     380        1 579 
     381        2 580 1191 
     382        1 581 
     383        1 582 
     384        1 583 
     385        1 585 
     386        1 586 
     387        1 587 
     388        2 588 589 
     389        2 590 591 
     390        1 592 
     391        1 593 
     392        1 594 
     393        1 595 
     394        1 596 
     395        4 597 640 653 682 
     396        1 599 
     397        2 600 678 
     398        3 601 650 681 
     399        1 602 
     400        1 603 
     401        1 607 
     402        1 608 
     403        1 616 
     404        2 617 618 
     405        1 620 
     406        1 623 
     407        1 624 
     408        1 625 
     409        1 626 
     410        1 627 
     411        1 631 
     412        1 632 
     413        1 633 
     414        1 634 
     415        2 635 636 
     416        1 637 
     417        2 638 696 
     418        1 639 
     419        1 641 
     420        1 643 
     421        1 644 
     422        1 645 
     423        2 646 647 
     424        1 648 
     425        1 651 
     426        1 652 
     427        1 654 
     428        1 655 
     429        1 656 
     430        1 657 
     431        1 658 
     432        1 659 
     433        1 660 
     434        1 661 
     435        1 662 
     436        1 665 
     437        1 667 
     438        1 668 
     439        1 669 
     440        1 670 
     441        1 671 
     442        1 672 
     443        2 673 1322 
     444        1 674 
     445        2 675 676 
     446        2 677 694 
     447        1 679 
     448        1 680 
     449        1 683 
     450        1 684 
     451        1 685 
     452        1 686 
     453        1 687 
     454        1 688 
     455        1 690 
     456        1 692 
     457        1 693 
     458        1 695 
     459        1 697 
     460        1 698 
     461        1 699 
     462        1 700 
     463        1 701 
     464        1 702 
     465        1 703 
     466        1 704 
     467        1 705 
     468        1 706 
     469        1 707 
     470        1 708 
     471        1 709 
     472        1 710 
     473        1 711 
     474        1 712 
     475        1 713 
     476        1 714 
     477        1 715 
     478        1 716 
     479        1 717 
     480        1 718 
     481        1 719 
     482        1 720 
     483        1 721 
     484        1 722 
     485        1 723 
     486        1 724 
     487        1 725 
     488        1 726 
     489        1 727 
     490        2 728 729 
     491        1 730 
     492        2 731 823 
     493        1 732 
     494        1 733 
     495        1 734 
     496        1 735 
     497        1 736 
     498        1 737 
     499        1 738 
     500        1 739 
     501        3 740 838 939 
     502        1 741 
     503        1 743 
     504        1 744 
     505       12 745 1053 766 781 827 852 853 874 955 802 829 927 
     506        2 746 875 
     507        1 747 
     508        1 749 
     509        1 750 
     510        1 751 
     511        1 752 
     512        1 753 
     513        9 754 1006 1007 1008 1009 870 871 872 873 
     514        2 755 949 
     515        2 756 878 
     516        2 757 879 
     517        2 758 880 
     518        1 759 
     519        1 760 
     520        2 761 762 
     521        2 763 764 
     522        1 765 
     523        4 768 1028 916 931 
     524        1 769 
     525        1 770 
     526        1 771 
     527        2 772 862 
     528        1 773 
     529        3 774 885 886 
     530        1 776 
     531        1 778 
     532        1 779 
     533        2 780 894 
     534       12 782 1019 1020 1095 783 907 863 864 865 876 890 969 
     535        1 784 
     536        2 785 787 
     537        3 786 1035 901 
     538        1 789 
     539        1 790 
